"Macrorregião de Saúde";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"4308 VALES";2294;3346;3477;3707;3646;3665;3732;3713;3962;4039;4031;3953;3357;3248;3860;3781;3926;3728;633;66098
"4309 SUL";3699;3783;4347;4215;4177;4169;4532;4475;4689;5060;5390;5204;3799;3560;3993;4108;4298;4288;718;78504
"4310 SERRA";2823;2684;2643;2914;2978;4103;3892;3462;3303;3408;3391;3665;3218;3020;3264;3553;3497;3694;601;60113
"4311 NORTE";3524;4384;4704;4805;5107;4971;5190;5429;5251;5315;5520;5690;4788;4556;5350;5648;5683;5652;961;92528
"4312 MISSIONEIRA";2412;2601;2850;3054;3119;2909;3111;3299;3405;3617;3898;4434;3752;3457;4077;4347;4458;4540;732;64072
"4313 METROPOLITANA";7923;10544;12594;12911;12996;14286;14737;12945;11645;12386;13066;14731;12577;12506;13982;15494;14949;16095;2458;238825
"4314 CENTRO-OESTE";2401;2798;3458;3483;3067;2502;2995;3494;3428;3787;3867;3669;3096;2932;3307;4026;4266;4411;756;61743
"Total";25076;30140;34073;35089;35090;36605;38189;36817;35683;37612;39163;41346;34587;33279;37833;40957;41077;42408;6859;661883
